Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,  Sales,Tax,advertisement,Fuel
11-21-2019,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
11-21-2019,PPC-Bag,264.7512,400,40,25,124962.57,19062.0864,6006.902,13708.0576
11-21-2019,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
11-23-2019,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
11-23-2019,OPC-Bag,352.5579,1600,160,22,665629.32,101536.6752,31800.44363,71211.1168
11-24-2019,OPC-Bag,372.5244,1200,120,110,527494.55,80465.2704,25730.89212,66843.5136
11-24-2019,PPC-Bag,264.7512,800,80,55,249925.13,38124.1728,12107.32888,29816.1152
11-24-2019,OPC-Bulk,339.2469,400,40,0,160124.54,24425.7768,7633.05525,16283.8512
11-25-2019,PPC-Bag,352.5579,1600,160,80,665629.32,101536.6752,32264.44363,80491.1168
11-25-2019,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
11-25-2019,PPC-Bag,264.7512,5000,500,25,1562032.08,238276.08,74781.81112,171350.72
11-25-2019,OPC-Bag,352.5579,400,40,30,166407.33,25384.1688,7992.55275,18122.7792
11-27-2019,PPC-Bag,264.7512,400,40,45,124962.57,19062.0864,6046.902,14508.0576
11-27-2019,OPC-Bag,363.7269,400,40,70,171679.1,26188.3368,8323.85525,20258.8912
11-27-2019,PPC-Bag,264.7512,400,40,65,124962.57,19062.0864,6086.902,15308.0576
11-27-2019,PPC-Bag,264.7512,5000,500,25,1562032.08,238276.08,74781.81112,171350.72
11-27-2019,PPC-Bag,264.7512,2000,200,65,624812.83,95310.432,30328.60952,76540.288
11-27-2019,OPC-Bag,352.5579,200,20,25,83203.66,12692.0844,4008.90427,8961.3896
11-27-2019,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
11-28-2019,OPC-Bag,352.5579,800,80,80,332814.66,50768.3376,16149.84971,40245.5584
11-28-2019,OPC-Bag,352.5579,400,40,75,166407.33,25384.1688,8082.55275,19922.7792
11-28-2019,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
11-29-2019,OPC-Bag,352.5579,400,40,25,166407.33,25384.1688,7982.55275,17922.7792
12-01-2019,OPC-Bag,352.5579,800,80,25,332814.66,50768.3376,15929.84971,35845.5584
12-01-2019,PPC-Bag,292.689,400,40,95,138149.21,21073.608,6775.5025,17849.072
12-01-2019,OPC-Bag,352.5579,400,40,95,166407.33,25384.1688,8122.55275,20722.7792
12-02-2019,OPC-Bag,372.5091,4800,480,110,2109891.54,321847.8624,102807.697,267365.2416
12-02-2019,PPC-Bag,264.7512,400,40,45,124962.57,19062.0864,6046.902,14508.0576
12-04-2019,PPC-Bag,264.7512,200,20,25,62481.28,9531.0432,3016.68856,6854.0288
12-04-2019,OPC-Bag,352.5579,400,40,30,166407.33,25384.1688,7992.55275,18122.7792
12-04-2019,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
12-05-2019,OPC-Bag,363.2067,400,40,70,171433.56,26150.8824,8312.15075,20233.9216
12-05-2019,OPC-Bag,363.2067,400,40,70,171433.56,26150.8824,8312.15075,20233.9216
12-06-2019,OPC-Bag,352.5579,400,40,23,166407.33,25384.1688,7978.55275,17842.7792
12-06-2019,PPC-Bag,264.7512,400,40,23,124962.57,19062.0864,6002.902,13628.0576
